url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
le-parnass.com,210539,210539,3.1,0.13,1,Shopping
terrasport.ua,210724,210724,2.5,0.2,3,Shopping
credomarket.com,210860,210860,3.5,0.11,1.1,Shopping
maiak-m.bg,211113,211113,2.5,0.19,2.8,Shopping
krason.ru,212442,212442,2.4,0.22,3.3,Shopping
buymebel.by,213011,213011,1.8,0.55,11,Shopping
e-auto.com.mx,213125,213125,2,0.36,6.6,Shopping
1340gallery.com,213517,213517,2.6,0.18,2.6,Shopping
favore.pl,214102,214102,3,0.13,1.7,Shopping
transcat.com,214162,214162,3,0.13,1.6,Shopping
savantmag.com,214254,214254,3.5,0.1,1.1,Shopping
rennfest.com,214413,214413,2.3,0.22,3.5,Shopping
irclearance.com,214725,214725,2.9,0.14,1.8,Shopping
snailhouse.com.tw,216629,216629,1.6,0.64,14,Shopping
larsonjewelers.com,216683,216683,2.7,0.15,2.1,Shopping
gcoins.net,216892,216892,2,0.31,5.5,Shopping
spreadshirt.pl,217218,217218,2.8,0.14,1.8,Shopping
colrd.com,217262,217262,2.8,0.14,1.8,Shopping
elektroshopwagner.de,217321,217321,2.7,0.15,2,Shopping
kaixinguopiao.com,217347,217347,2,0.32,6,Shopping
partselect.ca,218322,218322,2.3,0.22,3.6,Shopping
mainkeys.net,218520,218520,3.1,0.12,1.4,Shopping
fermedebeaumont.com,218539,218539,2.4,0.2,3.1,Shopping
edgeandsofa.jp,218889,218889,2.4,0.19,3,Shopping
yutori.co.jp,218980,218980,3.1,0.12,1,Shopping
offers.vn,219016,219016,2.6,0.16,2.3,Shopping
soccerloco.com,219451,219451,2.4,0.18,2.8,Shopping
indiashopps.com,220103,220103,1.8,0.42,8.4,Shopping
